nohup: ignoring input
/mnt/disk1/erdemy/app2scale/hdmr-opt/hdmr-env/lib/python3.10/site-packages/xgboost/core.py:377: FutureWarning: Your system has an old version of glibc (< 2.28). We will stop supporting Linux distros with glibc older than 2.28 after **May 31, 2025**. Please upgrade to a recent Linux distro (with glibc >= 2.28) to use future versions of XGBoost.
Note: You have installed the 'manylinux2014' variant of XGBoost. Certain features such as GPU algorithms or federated learning are not available. To use these features, please upgrade to a recent Linux distro with glibc 2.28+, and install the 'manylinux_2_28' variant.
  warnings.warn(
2026-04-17 16:16:59,789 | INFO     | hdmr.forecast |   ┌─ [medianova][N-BEATS][RS-200] fold 1/3  (train=1483  test=30)
2026-04-17 16:26:04,266 | INFO     | hdmr.forecast |   └─ MAPE=40.15%  RMSE=1.6332  MAE=1.5715  best_val=0.9244  evals=200  544.5s  ETA: 5:14:28
2026-04-17 16:26:04,270 | INFO     | hdmr.forecast |   ┌─ [medianova][N-BEATS][RS-200] fold 2/3  (train=1846  test=30)
2026-04-17 16:44:08,018 | INFO     | hdmr.forecast |   └─ MAPE=7.68%  RMSE=0.5504  MAE=0.4418  best_val=0.3588  evals=200  1083.7s  ETA: 3:35:54
2026-04-17 16:44:08,023 | INFO     | hdmr.forecast |   ┌─ [medianova][N-BEATS][RS-200] fold 3/3  (train=2210  test=30)
2026-04-17 17:11:30,202 | INFO     | hdmr.forecast |   └─ MAPE=5.78%  RMSE=0.4513  MAE=0.3278  best_val=0.3746  evals=200  1642.2s  ETA: 0:54:30
2026-04-17 17:11:30,206 | INFO     | hdmr.forecast |   [medianova][N-BEATS][RS-200]  MAPE=17.87±15.77  RMSE=0.8783  MAE=0.7804
2026-04-17 17:11:30,208 | INFO     | hdmr.forecast |   ┌─ [medianova][N-BEATS][Optuna-200] fold 1/3  (train=1483  test=30)
2026-04-17 17:16:53,082 | INFO     | hdmr.forecast |   └─ MAPE=34.25%  RMSE=1.4358  MAE=1.3507  best_val=0.8585  evals=200  322.9s  ETA: 0:33:52
2026-04-17 17:16:53,087 | INFO     | hdmr.forecast |   ┌─ [medianova][N-BEATS][Optuna-200] fold 2/3  (train=1846  test=30)
2026-04-17 17:27:15,408 | INFO     | hdmr.forecast |   └─ MAPE=6.71%  RMSE=0.5046  MAE=0.3883  best_val=0.3577  evals=200  622.3s  ETA: 0:14:22
2026-04-17 17:27:15,412 | INFO     | hdmr.forecast |   ┌─ [medianova][N-BEATS][Optuna-200] fold 3/3  (train=2210  test=30)
2026-04-17 18:21:31,127 | INFO     | hdmr.forecast |   └─ MAPE=6.28%  RMSE=0.4764  MAE=0.3575  best_val=0.3734  evals=200  3255.7s  ETA: done
2026-04-17 18:21:31,130 | INFO     | hdmr.forecast |   [medianova][N-BEATS][Optuna-200]  MAPE=15.74±13.09  RMSE=0.8056  MAE=0.6988
2026-04-17 18:21:31,131 | INFO     | hdmr.forecast | 
==========================================================================
2026-04-17 18:21:31,131 | INFO     | hdmr.forecast | FORECASTING HPO RESULTS SUMMARY — Medianova (CDN Traffic)
2026-04-17 18:21:31,131 | INFO     | hdmr.forecast | ==========================================================================
2026-04-17 18:21:31,131 | INFO     | hdmr.forecast | Model        Metric        HDMR-200    A-HDMR-200    A-HDMR-600        RS-200    Optuna-200
2026-04-17 18:21:31,131 | INFO     | hdmr.forecast | -------------------------------------------------------------------------------------------
2026-04-17 18:21:31,131 | INFO     | hdmr.forecast | XGBoost      mape               N/A           N/A           N/A           N/A           N/A
2026-04-17 18:21:31,131 | INFO     | hdmr.forecast | XGBoost      rmse               N/A           N/A           N/A           N/A           N/A
