run_id,dataset,task,method,total_evals,fold,seed,best_val,n_trials,duration_sec,rmse,mae,r2,param_learning_rate,param_max_depth,param_min_child_weight,param_subsample,param_colsample_bylevel,param_colsample_bynode,param_reg_alpha,param_reg_lambda,param_grow_policy,param_max_leaves,conv_10,conv_25,conv_50,conv_100,conv_150,conv_200,auc,accuracy,logloss
20260309_002910,Is-this-a-good-customer,classification,Optuna-200,200,8,42,0.3321172016111652,200,31.12,,,,0.09389259532239747,6,0.010174542558744518,0.9828730799335011,0.8088025315744842,0.9846964315008465,3.9126591937094277,4.262503172948895,lossguide,100,0.3367311435617367,0.3361685867228203,0.3353970946615866,0.3330943888434206,0.3321172016111652,0.3321172016111652,0.7265263157894736,0.8790697674418605,0.32772847446349773
20260309_002910,Marketing_Campaign,classification,Optuna-200,200,1,42,0.23984374817718032,200,83.26,,,,0.09665456140282336,4,4.466603348175171,0.6013005194924621,0.6706710378550559,0.7691510179071942,1.2715873985554962,1.9684092553729957,depthwise,9,0.25124501753428224,0.24625485591865384,0.2457684115567542,0.24469412220564968,0.24258745522190373,0.23984374817718032,0.879069292784978,0.8714285714285714,0.2803516676199186
20260309_002910,Marketing_Campaign,classification,Optuna-200,200,2,42,0.24847490040296047,200,151.12,,,,0.09917634028978956,6,1.2544949727254664,0.6919125975488608,0.7560070297580166,0.8349448979867625,0.21830697698212753,0.4708581564168191,lossguide,9,0.2631284351117868,0.2614636909521833,0.25910964156434757,0.24847490040296047,0.24847490040296047,0.24847490040296047,0.9180528625369936,0.8964285714285715,0.24522455924899988
20260309_002910,Marketing_Campaign,classification,Optuna-200,200,3,42,0.24805503760447398,200,238.53,,,,0.021754670304813303,8,0.09357929844239722,0.8354238298276382,0.6206480634362094,0.7474751893428555,0.01622785327141374,1.7248821107413843,lossguide,13,0.2543351868021319,0.25388900257375574,0.2510180636736468,0.24952971138039837,0.24947064331104207,0.24805503760447398,0.899359743897559,0.8821428571428571,0.28711364685660307
20260309_002910,Marketing_Campaign,classification,Optuna-200,200,4,42,0.241035154974469,200,178.62,,,,0.018701360805708812,10,4.746559264811554,0.788320412816266,0.8037333130045967,0.9464646007039996,1.3639154839192222,0.6973737225580232,lossguide,434,0.25326284473550487,0.24824966449005942,0.24824966449005942,0.2465826374809325,0.24540192586612908,0.241035154974469,0.8590436174469788,0.8607142857142858,0.3139478086351405
20260309_002910,Marketing_Campaign,classification,Optuna-200,200,5,42,0.25883551922340864,200,105.94,,,,0.07695544980913088,6,0.002204662969316067,0.6678994129795022,0.8374271657418512,0.8240984972737788,4.202862207639368,0.41771345629836654,depthwise,978,0.26695098295615155,0.26695098295615155,0.26559001544204086,0.25883551922340864,0.25883551922340864,0.25883551922340864,0.9235194077631053,0.9071428571428571,0.23234695772617614
20260309_002910,Marketing_Campaign,classification,Optuna-200,200,6,42,0.21452939025187345,200,129.91,,,,0.09855406804469403,10,4.866742192101213,0.9481448508566287,0.7746939812702246,0.7906068038415511,0.36432469539444406,0.08950779134968911,lossguide,626,0.22556012937412528,0.22404944274901506,0.21838355702748136,0.21452939025187345,0.21452939025187345,0.21452939025187345,0.8851540616246498,0.8714285714285714,0.2829561374707092
20260309_002910,Marketing_Campaign,classification,Optuna-200,200,7,42,0.27011527885439146,200,182.64,,,,0.03039002606185002,4,0.0042051931985505435,0.6483574276543732,0.6102269116519546,0.7611068064809176,4.010697127832872,3.8149363996819345,depthwise,476,0.2766977801619504,0.2715727762227072,0.27023063637910943,0.27023063637910943,0.27011527885439146,0.27011527885439146,0.8918067226890757,0.8714285714285714,0.2857273590296724
20260309_002910,Marketing_Campaign,classification,Optuna-200,200,8,42,0.25246608752595395,200,99.54,,,,0.02721392536844941,4,0.3106067623918821,0.6539776125377482,0.6489247255505214,0.7561891336187445,1.9123471572589896,0.38395636541315065,depthwise,287,0.2585264278121377,0.2568254150743378,0.25400733475808673,0.25395210491137415,0.25395210491137415,0.25246608752595395,0.9352741096438575,0.9107142857142857,0.23244266673346275
20260309_002910,hazelnut-contaminant-detection,classification,Optuna-200,200,1,42,0.18228545386540707,200,544.42,,,,0.07395564383278484,5,2.724659241048195,0.617859758542298,0.9073711146752947,0.9425666858451636,0.3735992390089478,4.51995368971518,depthwise,34,0.20888385235757037,0.1987444445678941,0.19731739453876446,0.18799770744506625,0.18228545386540707,0.18228545386540707,0.9823555555555555,0.91,0.17115024428214756
